label,return,kospi,mdd,trades,win_rate
bull_hold=10,171.42%,240.97%,-38.46%,915,48.96%
bull_hold=12,202.65%,240.97%,-36.57%,908,49.89%
bull_hold=14,220.13%,240.97%,-35.84%,909,50.17%
bull_hold=16,174.19%,240.97%,-37.05%,909,49.83%
bull_hold=18,178.29%,240.97%,-37.46%,908,49.67%
