buy_date,sell_date,ticker,regime_at_buy,buy_price,sell_price,profit_pct,exit_reason
2014-10-22,2014-10-23,003490,BEAR,21426.0,21600.0,0.8120974516942034,overshoot_runner
2014-10-22,2014-10-28,003550,BEAR,62915.0,59140.1,-6.000000000000003,hard_stop
2014-10-22,2014-10-29,017670,BEAR,46153.0,46404.184993391544,0.5442441301573975,trailing_stop
2014-10-22,2014-10-29,015760,BEAR,47900.0,46100.0,-3.7578288100208765,trailing_stop
2014-10-28,2014-10-29,071050,BEAR,52100.0,55800.0,7.1017274472168905,overshoot_runner
2014-10-22,2014-10-30,003490,BEAR,21426.0,21401.11,-0.11616727340613936,trailing_stop
2014-10-23,2014-10-30,000810,BEAR,283500.0,293500.0,3.527336860670194,overshoot_runner
2014-10-28,2014-11-06,071050,BEAR,52100.0,55446.03783931999,6.422337503493269,trailing_stop
2014-10-30,2014-11-06,015760,BEAR,46000.0,47296.79736024845,2.8191246961922807,trailing_stop
2014-10-30,2014-11-06,000100,BEAR,24531.0,24232.65980363039,-1.216176251965304,trailing_stop
2014-11-03,2014-11-06,034730,BEAR,247000.0,232180.0,-6.0,hard_stop
2014-10-23,2014-11-07,000810,BEAR,283500.0,290500.0,2.4691358024691357,trailing_stop
2014-11-07,2014-11-12,015760,BEAR,46950.0,44812.5,-4.552715654952077,hard_stop
2014-11-07,2014-11-14,000100,BEAR,24531.0,23765.642857142855,-3.119959002311952,trailing_stop
2014-11-07,2014-11-14,034730,BEAR,224000.0,234650.0,4.754464285714286,trailing_stop
2014-11-12,2014-11-17,033780,BEAR,94800.0,91617.85714285714,-3.3566907775768513,hard_stop
2014-11-11,2014-11-18,105560,BEAR,40400.0,39750.0,-1.608910891089109,trailing_stop
2014-11-06,2014-11-20,011200,BEAR,62670.0,63621.5,1.5182703047710229,trailing_stop
2014-11-14,2014-11-21,138040,BEAR,9010.0,9020.0,0.11098779134295228,trailing_stop
2014-11-14,2014-11-21,010130,BEAR,417000.0,419040.0,0.4892086330935252,trailing_stop
2014-11-18,2014-11-21,000810,BEAR,295000.0,304500.0,3.2203389830508473,overshoot_runner
2014-11-17,2014-11-24,015760,BEAR,44100.0,44082.68545513444,-0.039262006497875784,trailing_stop
2014-11-18,2014-11-25,000810,BEAR,295000.0,302500.0,2.5423728813559325,trailing_stop
2014-11-20,2014-11-27,034730,BEAR,219000.0,214700.0,-1.9634703196347032,trailing_stop
2014-11-21,2014-11-28,105560,BEAR,39400.0,38650.0,-1.903553299492386,trailing_stop
2014-11-27,2014-12-01,033780,BEAR,95000.0,91592.85714285714,-3.5864661654135315,hard_stop
2014-11-24,2014-12-02,138040,BEAR,9070.0,9192.568908489526,1.3513661354964246,trailing_stop
2014-11-28,2014-12-02,032830,BEAR,122000.0,126000.0,3.278688524590164,overshoot_runner
2014-11-21,2014-12-05,002790,BEAR,112540.0,117429.0,4.3442331615425624,overshoot_runner
2014-11-21,2014-12-08,002790,BEAR,112540.0,113773.04869379775,1.095653717609521,trailing_stop
2014-11-25,2014-12-08,003410,BEAR,2210.0,2500.4,13.140271493212675,trailing_stop
2014-12-01,2014-12-08,071050,BEAR,55200.0,54700.0,-0.9057971014492754,trailing_stop
2014-11-28,2014-12-10,032830,BEAR,122000.0,124160.0,1.7704918032786885,trailing_stop
2014-12-02,2014-12-10,105560,BEAR,38300.0,38169.5,-0.34073107049608353,trailing_stop
2014-12-08,2014-12-10,006800,BEAR,10512.0,10069.071428571428,-4.213551859099814,hard_stop
2014-12-08,2014-12-12,016360,BEAR,47189.0,45458.857142857145,-3.6664113610011975,hard_stop
2014-12-09,2014-12-12,017670,BEAR,48483.0,46717.392857142855,-3.641703572091547,hard_stop
2014-12-18,2014-12-26,007070,BEAR,22237.0,21766.0,-2.1180914691729997,trailing_stop
2014-12-18,2014-12-26,017670,BEAR,47102.0,48396.0,2.747229417009893,trailing_stop
2014-12-18,2014-12-26,071050,BEAR,50900.0,49050.0,-3.6345776031434185,trailing_stop
2014-12-18,2014-12-29,138040,BEAR,8860.0,8910.0,0.5643340857787811,trailing_stop
2014-12-22,2014-12-29,000660,BEAR,48250.0,47045.0,-2.4974093264248705,trailing_stop
2014-12-26,2014-12-30,016360,BEAR,44813.0,43363.14285714286,-3.2353494362286335,hard_stop
2014-12-26,2014-12-30,000810,BEAR,297000.0,280500.0,-5.555555555555555,hard_stop
2014-12-26,2015-01-02,003490,BEAR,26899.0,26926.00518341096,0.10039474854441341,trailing_stop
2014-12-30,2015-01-02,138040,BEAR,9000.0,9350.0,3.888888888888889,overshoot_runner
2014-12-29,2015-01-05,007070,BEAR,21638.0,20783.0,-3.9513818282650894,trailing_stop
2014-12-29,2015-01-07,017670,BEAR,46930.0,46860.7,-0.14766673769444474,trailing_stop
2014-12-30,2015-01-07,138040,BEAR,9000.0,9195.6,2.1733333333333373,trailing_stop
2015-01-05,2015-01-07,003490,BEAR,26754.0,24899.0,-6.933542647828363,hard_stop
2014-12-30,2015-01-12,032830,BEAR,116500.0,116325.72041692214,-0.14959620865052636,trailing_stop
2015-01-02,2015-01-12,000810,BEAR,285000.0,292508.5839598997,2.634590863122711,trailing_stop
2015-01-08,2015-01-16,003490,BEAR,25075.0,25547.58923230309,1.884702820750107,trailing_stop
2015-01-12,2015-01-20,005930,BEAR,26320.0,27440.0,4.25531914893617,overshoot_runner
2015-01-07,2015-01-26,007070,BEAR,21168.0,22622.0,6.86885865457294,overshoot_runner
2015-01-19,2015-01-26,003490,BEAR,25480.0,25192.961420722135,-1.1265250364123438,trailing_stop
2015-01-07,2015-01-28,007070,BEAR,21168.0,22103.37569849368,4.418819437328424,trailing_stop
2015-01-20,2015-01-28,138040,BEAR,9450.0,9292.6,-1.6656084656084618,trailing_stop
2015-01-12,2015-01-29,005930,BEAR,26320.0,27159.03,3.1878039513677763,trailing_stop
2015-01-28,2015-01-30,003490,BEAR,25683.0,27507.0,7.101974068449947,overshoot_runner
2015-01-22,2015-02-02,034730,BEAR,226000.0,238000.0,5.3097345132743365,overshoot_runner
2015-01-26,2015-02-02,000660,BEAR,48250.0,47300.0,-1.9689119170984457,trailing_stop
2015-01-29,2015-02-02,007070,BEAR,22451.0,21566.75,-3.9385773462206584,hard_stop
2015-01-22,2015-02-04,034730,BEAR,226000.0,230542.50948166876,2.009959947641046,trailing_stop
2015-01-28,2015-02-04,003490,BEAR,25683.0,26910.66072054333,4.780051865215622,trailing_stop
2015-01-29,2015-02-05,010130,BEAR,432000.0,422500.0,-2.199074074074074,trailing_stop
2015-02-05,2015-02-06,003410,BEAR,3175.0,2984.5,-6.0,hard_stop
2015-02-03,2015-02-10,000660,BEAR,46700.0,45250.0,-3.1049250535331905,trailing_stop
2015-02-06,2015-02-10,010130,BEAR,419500.0,405571.4285714286,-3.320279243997955,hard_stop
2015-02-03,2015-02-11,005930,BEAR,27320.0,27160.0,-0.5856515373352855,trailing_stop
2015-02-09,2015-02-16,009150,BEAR,67500.0,66348.0,-1.7066666666666668,trailing_stop
2015-02-10,2015-02-17,003410,BEAR,3023.0,3035.484027219886,0.4129681515013488,trailing_stop
2015-02-17,2015-02-27,036570,BEAR,189500.0,178130.0,-6.0,hard_stop
2015-02-11,2015-03-09,010130,BEAR,410000.0,395642.85714285716,-3.5017421602787415,hard_stop
2015-03-09,2015-03-19,036570,BULL,178500.0,167790.0,-6.0,hard_stop
2015-02-17,2015-04-01,009150,BEAR,66600.0,72501.9305019305,8.86175751040616,trailing_stop
2015-02-12,2015-05-06,005930,BEAR,26880.0,27158.894026360544,1.037552181400832,trailing_stop
2015-02-27,2015-05-15,068270,BULL,45414.0,57963.0,27.63244814374422,trailing_stop
2015-04-01,2015-05-15,051910,BULL,225000.0,269976.1904761905,19.989417989417987,trailing_stop
2015-03-19,2015-05-18,096770,BULL,91901.0,110102.70463091494,19.805774290720386,trailing_stop
2015-05-06,2015-05-20,034020,BULL,22454.0,21368.951844405707,-4.832315647966034,trailing_stop
2015-02-23,2015-05-27,003410,BULL,3012.0,3652.0,21.248339973439574,overshoot_runner
2015-05-20,2015-05-28,004020,NEUTRAL,75000.0,73040.0,-2.6133333333333333,trailing_stop
2015-05-15,2015-05-29,009540,NEUTRAL,119911.0,118302.14787127834,-1.3417052052953082,trailing_stop
2015-05-18,2015-06-08,011170,NEUTRAL,223363.0,255272.0,14.285714285714285,overshoot_runner
2015-05-15,2015-06-11,071050,NEUTRAL,64400.0,62730.0,-2.593167701863354,trailing_stop
