buy_date,sell_date,ticker,regime_at_buy,buy_price,sell_price,profit_pct
2014-10-22,2014-10-29,017670,BEAR,46153.0,46404.184993391544,0.5442441301573975
2014-10-22,2014-10-29,015760,BEAR,47900.0,46100.0,-3.7578288100208765
2014-10-30,2014-11-06,015760,BEAR,46000.0,47296.79736024845,2.8191246961922807
2014-10-23,2014-11-07,000810,BEAR,283500.0,290500.0,2.4691358024691357
2014-11-07,2014-11-12,015760,BEAR,46950.0,44812.5,-4.552715654952077
2014-11-12,2014-11-17,033780,BEAR,94800.0,91617.85714285714,-3.3566907775768513
2014-11-13,2014-11-21,010130,BEAR,416000.0,418685.43956043955,0.6455383558748927
2014-11-14,2014-11-24,015760,BEAR,45100.0,44233.19607222046,-1.9219599285577376
2014-11-18,2014-11-25,000810,BEAR,295000.0,302500.0,2.5423728813559325
2014-11-24,2014-12-01,033780,BEAR,94900.0,94478.0,-0.44467860906217066
2014-12-03,2014-12-10,000810,BEAR,309000.0,304095.0,-1.5873786407766992
2014-12-09,2014-12-12,017670,BEAR,48483.0,46717.392857142855,-3.641703572091547
2014-12-18,2014-12-26,017670,BEAR,47102.0,48396.0,2.747229417009893
2014-12-22,2014-12-30,000810,BEAR,290000.0,287026.8472906404,-1.0252250721929634
2014-12-29,2015-01-07,017670,BEAR,46930.0,46860.7,-0.14766673769444474
2015-01-02,2015-01-12,000810,BEAR,285000.0,292508.5839598997,2.634590863122711
2015-01-12,2015-01-29,005930,BEAR,26320.0,27159.03,3.1878039513677763
2015-01-29,2015-02-05,010130,BEAR,432000.0,422500.0,-2.199074074074074
2015-02-06,2015-02-10,010130,BEAR,419500.0,405571.4285714286,-3.320279243997955
2015-02-03,2015-02-11,005930,BEAR,27320.0,27160.0,-0.5856515373352855
2015-02-09,2015-02-16,009150,BEAR,67500.0,66348.0,-1.7066666666666668
2015-02-11,2015-03-09,010130,BEAR,410000.0,395642.85714285716,-3.5017421602787415
2015-02-23,2015-03-11,096770,BULL,99379.0,93465.25,-5.950703871039153
2015-03-09,2015-03-11,024110,BULL,13150.0,12650.0,-3.802281368821293
2015-03-11,2015-03-13,012330,BULL,258000.0,249589.2857142857,-3.2599667774086396
2015-02-23,2015-03-16,010950,BULL,63000.0,59220.0,-6.0
2015-03-12,2015-03-16,096770,BULL,93180.0,88467.64285714287,-5.057262441357727
2015-02-17,2015-04-01,009150,BEAR,66600.0,72501.9305019305,8.86175751040616
